=== AStar_v1_2 alpha/d_ref 参数敏感性分析 ===
时间: 20260831_155648
总耗时: 1.7 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫x80
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.8     0.15 |       1322     120.12     120.12        100        483       13.5

--- 迷宫x80 ---
地图大小: 80, 起点: [4,4], 终点: [77,77], 障碍物: 1176
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
----------------------------------------------------------------------------------
     0.0     0.00 |       2399     117.30     117.30         98        286       16.9
     0.0     0.02 |       2399     117.30     117.30         98        286       16.3
     0.0     0.04 |       2399     117.30     117.30         98        286       16.7
     0.0     0.06 |       2399     117.30     117.30         98        286       16.1
     0.0     0.08 |       2399     117.30     117.30         98        286       16.5
     0.0     0.10 |       2399     117.30     117.30         98        286       15.5
     0.0     0.12 |       2399     117.30     117.30         98        286       15.6
     0.0     0.15 |       2399     117.30     117.30         98        286       15.4
     0.1     0.00 |       1259     117.30     117.30         98        343       10.6
     0.1     0.02 |       1083     117.30     117.30         98        310        9.9
     0.1     0.04 |       1494     118.47     118.47        100        337       11.6
     0.1     0.06 |       1710     118.47     118.47        100        329       13.5
     0.1     0.08 |       1965     117.88     117.88         99        308       15.4
     0.1     0.10 |       2064     117.88     117.88         99        288       14.8
     0.1     0.12 |       2107     117.88     117.88         99        275       14.8
     0.1     0.15 |       2078     117.30     117.30         98        255       13.8
     0.2     0.00 |        804     121.30     121.30        102        221        6.1
     0.2     0.02 |        951     119.88     119.88        101        371        8.4
     0.2     0.04 |       1197     120.12     120.12        100        389       10.2
     0.2     0.06 |       1297     120.12     120.12        100        353       11.2
     0.2     0.08 |       1383     120.12     120.12        100        321       10.8
     0.2     0.10 |       1432     117.88     117.88         99        363       11.4
     0.2     0.12 |       1413     117.88     117.88         99        311       10.5
     0.2     0.15 |       1737     117.30     117.30         98        335       13.4
     0.3     0.00 |        476     121.30     121.30        102        251        4.7
     0.3     0.02 |       1142     129.64     129.64        112        380       11.4
     0.3     0.04 |       1165     125.64     125.64        108        384       12.5
     0.3     0.06 |       1371     125.05     125.05        107        422       19.1
     0.3     0.08 |       1351     123.05     123.05        105        407       11.7
     0.3     0.10 |       1308     119.30     119.30        100        354       15.3
     0.3     0.12 |       1444     120.12     120.12        100        360       14.7
     0.3     0.15 |       1287     117.88     117.88         99        323       10.3
     0.4     0.00 |        385     121.30     121.30        102        259        4.2
     0.4     0.02 |        843     131.84     131.84        120        368       10.1
     0.4     0.04 |       1141     126.81     126.81        110        457       10.1
     0.4     0.06 |       1151     126.23     126.23        109        401       10.0
     0.4     0.08 |       1236     125.64     125.64        108        361       10.5
     0.4     0.10 |       1292     124.81     124.81        108        328       10.4
     0.4     0.12 |       1444     123.64     123.64        106        394       12.2
     0.4     0.15 |       1341     119.30     119.30        100        336       10.6
     0.5     0.00 |        343     121.30     121.30        102        262        3.6
     0.5     0.02 |        562     130.43     130.43        119        364        5.1
     0.5     0.04 |        960     132.43     132.43        121        412        8.2
     0.5     0.06 |       1231     129.50     129.50        116        473       10.6
     0.5     0.08 |       1316     129.50     129.50        116        381       10.8
     0.5     0.10 |       1215     125.64     125.64        108        378       11.1
     0.5     0.12 |       1259     125.05     125.05        107        347        9.6
     0.5     0.15 |       1282     124.23     124.23        107        328       10.1
     0.6     0.00 |        293     122.12     122.12        102        268        3.2
     0.6     0.02 |        573     131.60     131.60        121        380        6.0
     0.6     0.04 |        801     131.01     131.01        120        418        7.3
     0.6     0.06 |       1050     128.33     128.33        114        452        9.0
     0.6     0.08 |       1243     129.50     129.50        116        484       10.4
     0.6     0.10 |       1288     129.50     129.50        116        425       10.5
     0.6     0.12 |       1348     128.91     128.91        115        360       10.7
     0.6     0.15 |       1274     125.05     125.05        107        360        9.7
     0.7     0.00 |        290     122.12     122.12        102        270        3.4
     0.7     0.02 |        426     139.60     139.60        129        352        4.3
     0.7     0.04 |        715     131.60     131.60        121        415        7.6
     0.7     0.06 |        844     131.01     131.01        120        421        7.5
     0.7     0.08 |       1086     128.91     128.91        115        449       10.3
     0.7     0.10 |       1256     129.50     129.50        116        487       16.5
     0.7     0.12 |       1283     129.50     129.50        116        433       10.3
     0.7     0.15 |       1364     128.91     128.91        115        356       10.7
     0.8     0.00 |        282     122.95     122.95        102        270        3.7
     0.8     0.02 |        432     138.77     138.77        129        361        4.2
     0.8     0.04 |        727     131.60     131.60        121        432        6.5
     0.8     0.06 |        763     131.60     131.60        121        409        7.7
     0.8     0.08 |        915     131.01     131.01        120        450        7.8
     0.8     0.10 |       1140     131.84     131.84        120        453        9.5
     0.8     0.12 |       1282     127.40     127.40        111        466       10.7
     0.8     0.15 |       1319     129.50     129.50        116        412       10.5

