=== AStar_v1_1 alpha/d_ref 参数敏感性分析 ===
时间: 20260830_164948
总耗时: 2.3 秒

--- 实验配置 ---
地图: Map1, Map2_kong, 迷宫
alpha: [0.0, ..., 0.8] (9 级)
d_ref: [0.00, ..., 0.15] (8 级)
重复: 1 次
SimplifyPath: false
SmoothPath: false
热力图路径代价: 原始

--- 参数说明 ---
alpha: 最大额外权重 [0.1, 0.8]
       越大 → 开阔区域越贪心（路径更短但可能绕远）
       越小 → 越接近标准 A*（更稳定但搜索更慢）
d_ref: 障碍物距离阈值(占地图对角距离百分比) [0.02, 0.15]
       越小 → 障碍物影响范围越窄（只有紧贴障碍物才减速）
       越大 → 障碍物影响范围越广（提前减速，路径更安全）

--- Map1 ---
地图大小: 50, 起点: [3,3], 终点: [48,48], 障碍物: 585
   alpha    d_ref |       扩展节点       原始代价      处理后代价       路径长度     最大Open     耗时(ms)
     0.3     0.04 |        369      40.63      40.63         35         85        5.2
     0.3     0.06 |        380      40.63      40.63         35         89        5.7
     0.3     0.08 |        404      40.63      40.63         35         85        5.9
     0.3     0.10 |        418      40.63      40.63         35         84        6.9
     0.3     0.12 |        424      40.63      40.63         35         82        5.8
     0.3     0.15 |        433      40.63      40.63         35         82        6.4
     0.4     0.00 |        256      40.63      40.63         35         90        5.1
     0.4     0.02 |        262      40.63      40.63         35         85        4.0
     0.4     0.04 |        315      40.63      40.63         35         95        5.5
     0.4     0.06 |        340      40.63      40.63         35         91        5.0
     0.4     0.08 |        373      40.63      40.63         35         86        5.4
     0.4     0.10 |        388      40.63      40.63         35         85        6.4
     0.4     0.12 |        401      40.63      40.63         35         87        6.4
     0.4     0.15 |        418      40.63      40.63         35         83        6.2
     0.5     0.00 |        156      40.63      40.63         35         72        3.8
     0.5     0.02 |        182      40.63      40.63         35         75        5.1
     0.5     0.04 |        215      40.63      40.63         35         88        4.8
     0.5     0.06 |        260      40.63      40.63         35        102        5.0
     0.5     0.08 |        326      40.63      40.63         35         93        4.9
     0.5     0.10 |        346      40.63      40.63         35         91        6.1
     0.5     0.12 |        370      40.63      40.63         35         89        6.5
     0.5     0.15 |        393      40.63      40.63         35         85        6.3
     0.6     0.00 |        136      40.63      40.63         35         74        2.7
     0.6     0.02 |        155      40.63      40.63         35         82        2.8
     0.6     0.04 |        191      40.63      40.63         35         94        3.6
     0.6     0.06 |        216      40.63      40.63         35         87        3.4
